,Q,A
1545,"The answer must be between 24 and 27, and the only answer that satisfies this is 26. ",
1546,"Therefore, the answer is 26. ",
1547,7st data,
1548,Q," Tires of a certain brand, when purchased new, last for four years. A customer can choose to purchase the new tires at a cost of $180 per tire or can have his current tires repaired at a cost of $40 per tire, a repair that will make the current tires last for one additional year. The average cost per year of the new tires is what percent greater than the cost of repairing the current tires? "
1549,A, Let's think step by step. 
1550,The cost of new tires is $180 per tire. ,
1551,The cost of repairing the current tires is $40 per tire. ,
1552,The difference in cost is $180 - $40 = $140. ,
1553,"To find the percent increase, we take the difference in cost and divide it by the original cost. In other words, we take $140 and divide it by $40. ",
1554,$140/$40 = 3.5 ,
1555,"3.5 is greater than 1, so we know that the new tires cost more than the repaired tires. ",
1556,8st data,
1557,Q, Anna is able to buy 5 more articles for $300 after the price of each article decreased by 15%. What is the new selling price of each article?
1558,A, Let's think step by step. 
1559,Anna is able to buy 5 more articles for $300. ,
1560,That means that the 5 articles cost $60 each. ,
1561,The price of each article decreased by 15%. ,
1562,That means that the original price of each article was $70. ,
1563,$70 - $60 = $10 ,
1564,The new selling price of each article is $10. ,
1565,9st data,
1566,A, Let's think step by step. 
1567,The first car will travel 15 miles in 15/55 hours. ,
1568,The second car will travel 15 miles in 15/52 hours. ,
1569,Now we need to compare the two times. ,
1570,15/55 = 0.2727272727272727 ,
1571,15/52 = 0.28846153846153846 ,
1572,"Since 0.28846153846153846 is greater than 0.2727272727272727, it will take the second car longer to travel 15 miles. ",
1573,10st data,
1574,1_th_sampling,
1575,Q," A grocery sells a bag of ice for $1.25, and makes 20% profit. If it sells 500 bags of ice, how much total profit does it make? "
1576,A, Let's think step by step. 
1577,The grocery sells a bag of ice for $1.25. ,
1578,This means that the grocery buys the bag of ice for $1. ,
1579,The grocery makes 20% profit. ,
1580,This means that the grocery's profit is $0.20. ,
1581,The grocery sells 500 bags of ice. ,
1582,"This means that the grocery's total profit is 500 * $0.20, which is $100. ",
1583,11st data,
1584,Q," A car finishes a journey in 20 hours at the speed of 60 km/hr. If the same distance is to be covered in 10 hours, how much speed does the car gain?"
1585,A, Let's think step by step. 
1586,The car is currently travelling at 60 km/hr. ,
1587,"In order to travel the same distance in 10 hours, the car would need to travel at 6 times the speed, or 360 km/hr. ",
1588,"Therefore, the car would need to gain 300 km/hr. ",
1589,12st data,
1590,Q," Amy is organizing her bookshelves and finds that she has 10 different types of books. She then codes each book with either a single letter or a pair of two different letters. If each type of book is uniquely represented by either a single letter or pair of letters, what is the smallest number of letters Amy will need to create the codes for all 10 types of books? (Assume the order of letters in a pair does not matter.) "
1591,A, Let's think step by step. 
1592,There are 10 different types of books. ,
1593,That means we need at least 10 different codes. ,
1594,The codes can be either a single letter or a pair of two different letters. ,
1595,That means the maximum number of codes we would need is 20. ,
1596,"However, we know that each type of book is uniquely represented by either a single letter or pair of letters. ",
1597,"That means some of the codes can be single letters, and some of the codes can be pairs of letters. ",
1598,The minimum number of codes we could use is 3. ,
1599,13st data,
1600,Q, Q is as much younger than R as he is older than T. If the sum of the ages of R and T is 50 years. What is definitely the difference between R and Q's age?
1601,A, Let's think step by step. 
1602,Q is as much younger than R as he is older than T. ,
1603,Q is younger than R by x years. ,
1604,Q is older than T by x years. ,
1605,Now we have two equations and two unknowns. We can solve for x. ,
1606,R + T = 50 ,
1607,R - Q = x ,
1608,T - Q = x ,
1609,R + T = 50 ,
1610,R - T = -x ,
1611,2T = 50 - x ,
1612,T = 25 - (1/2)x ,
1613,14st data,
1614,A, Let's think step by step. 
1615,"The first thing we need to do is figure out what the semi-perimeter of the room is. The semi-perimeter is just half of the perimeter, so we need to find the perimeter first. ",
1616,"The perimeter is just the sum of all the sides of the room. We know that the height is 2/5 of the semi-perimeter, so we can set up the following equation", 
1617,2/5sp = h ,
1618,"We also know that the width is 50 cm, so we can set up another equation", 
1619,w = 50 ,
1620,15st data,
1621,1_th_sampling,
1622,Q," A starts a business with Rs.40,000. After 2 months, B joined him with Rs.60,000. C joined them after some more time with Rs.120,000. At the end of the year, out of a total profit of Rs.375,000, C gets Rs.150,000 as his share. How many months after B joined the business, did C join? "
1623,A, Let's think step by step. 
1624,"C's share is 150,000. ",
1625,"The total profit is 375,000. ",
1626,"That means B's share is 375,000 - 150,000 = 225,000. ",
1627,"Now we know that B's share is 60,000 more than A's share. ",
1628,"That means A's share is 225,000 - 60,000 = 165,000. ",
1629,"We also know that the total amount of money invested in the business is 40,000 + 60,000 + 120,000 = 220,000. ",
1630,That means the total profit is 165% of ,
1631,"Therefore, among A through E, the answer is D. C joined 24 months after B joined. ",
1632,16st data,
1633,1_th_sampling,
1634,A," Let's think step by step. Jennie will bike 1/2 mile in 1 minute. In that same minute, Janice will bike 1/5 of a mile. So in one minute, they will have biked 3/10 + 1/5 = 11/20 of a mile. "
1635,It will take them (20/11) minutes to bike 1 mile. (D) 4 minutes ,
1636,17st data,
1637,1_th_sampling,
1638,A, Let's think step by step. 
1639,The athlete runs M miles in 4 hours. ,
1640,That's an average speed of M/4 miles per hour. ,
1641,The athlete rides a bike N miles in the same number of hours. ,
1642,That's an average speed of N/4 miles per hour. ,
1643,"The average speed for these two activities combined is the sum of the average speeds for each activity, so", 
1644,(M/4) + (N/4) = (M + N)/8,
1645,18st data,
1646,1_th_sampling,
1647,Q," All 250 files on Sam's hard drive are infected by either a virus or a worm or both. The number of files that are infected only by a worm is 2.5 times the number of files that are infected by both a virus and a worm. If 50% of the files were not infected by a virus, how many of Sam's files were NOT infected by a worm? "
1648,A, Let's think step by step. 
1649,There are a total of 250 files. ,
1650,2.5 times the number of files that are infected by both a virus and a worm is 125. ,
1651,This means that the number of files that are infected only by a worm is 125. ,
1652,125 + 125 = 250 ,
1653,This means that all of Sam's files are infected by either a virus or a worm or both. ,
1654,"Now, if 50% of the files were not infected by a virus, this means that 50% of the files were infected by a virus. ",
1655,125 files are infected by both a virus and a worm. ,
1656,19st data,
1657,1_th_sampling,
1658,Q," By himself, Jack can clean a yacht in 12 hours. On a particular day, he happens to finish two-thirds of the work. The remaining portion of the work is done by Jill, whose rate of cleaning is just 5% of what Jack can do. How long does it take Jill to finish the remaining work?"
1659,A, Let's think step by step. 
1660,Jack can clean a yacht in 12 hours. ,
1661,"On a particular day, he happens to finish two-thirds of the work. ",
1662,That means he finishes 8 hours of work. ,
1663,"The remaining portion of the work is done by Jill, whose rate of cleaning is just 5% of what Jack can do. ",
1664,That means Jill's rate is 0.05*12=0.6 hours per hour. ,
1665,It will take her 8/0.6=13.3 hours to finish the work. ,
1666,20st data,
1667,1_th_sampling,
1668,Q," In the coordinate plane, a triangle has vertices at (a,0), (b,0), and (x,y). If a>x>b>0>y, which of the following represents the area of that triangle?"
1669,A, Let's think step by step. 
1670,"First, we need to find the equation of the line that passes through the points (a,0) and (b,0). The equation of this line is y=0. ",
1671,"Now, we need to find the equation of the line that passes through the points (x,y) and (0,0). The equation of this line is y=mx, where m is the slope of the line. ",
1672,The area of the triangle is the area between these two lines. We can find this area by finding the integral of the equation of the line y=mx from x=a to ,
1673,21st data,
1674,1_th_sampling,
1675,Q," At a certain factory, 10 percent of the staplers produced on Monday were defective and 2 percent of the non-defective staplers were rejected by mistake. If 72 of the non-defective staplers were rejected, what was the number of staplers produced that day?"
1676,A, Let's think step by step. 
1677,"First, we know that 10% of the staplers were defective. ",
1678,"That means that for every 10 staplers, 1 was defective. ",
1679,We also know that 2% of the non-defective staplers were rejected by mistake. ,
1680,"That means that for every 100 non-defective staplers, 2 were rejected by mistake. ",
1681,We're told that 72 of the non-defective staplers were rejected. ,
1682,That means that there were 72 more staplers rejected than there were defective stapl ,
1683,"Therefore, among A through E, the answer is D. ",
1684,"There were 4,800 staplers produced that day.",
1685,22st data,
1686,1_th_sampling,
1687,Q, A train M leaves City A at 5 am and reaches City B at 9am. Another train N leaves City B at 7am and reaches City A at 1030am. At what time do the 2 trains cross one another?
1688,"The first train, M, will take 4 hours to reach City B. ",
1689,"The second train, N, will take 3.5 hours to reach City A. ",
1690,"Therefore, the two trains will cross one another at 8",30 am. 
1691,23st data,
1692,1_th_sampling,
1693,Q," Two ants are standing side-by-side. One ant, which is 4 inches tall, casts a shadow that is 10 inches long. The other ant is 6 inches tall. Compute, in inches, the length of the shadow that the taller ant casts. "
1694,A, The first ant casts a shadow that is 10 inches long. 
1695,"The second ant is 6 inches tall, which means that it is 2 inches taller than the first ant. ",
1696,"Since the first ant's shadow is 10 inches long, the second ant's shadow must be 2 inches longer, which means it is 12 inches long. ",
1697,24st data,
1698,1_th_sampling,
1699,Q," A sporting goods store carries only yellow and white golf balls. At the beginning of the day it had 600 golf balls in stock, and by the end of the day it had sold 80% of its inventory of golf balls. If the store sold an equal number of yellow and white golf balls, and in doing so sold all of its white golf balls, how many yellow golf balls did the store have to begin the day? "
1700,A, Let's think step by step. 
1701,The store had 600 golf balls in stock. ,
1702,80% of 600 golf balls is 480 golf balls. ,
1703,That means that the store sold 480 golf balls in total. ,
1704,"Since the store sold an equal number of yellow and white golf balls, that means that it sold 240 white golf balls. ",
1705,That means that it had 360 yellow golf balls to begin the day. ,
1706,25st data,
1707,1_th_sampling,
1708,Q, 900 + 5 × 12 = ? 
1709,A, Let's think step by step. 
1710,900 + 5 × 12 = ,
1711,900 + 5 × (10 + 2) = ,
1712,900 + 5 × 10 + 5 × 2 = ,
1713,900 + 50 + 10 = ,
1714,960 ,
1715,26st data,
1716,1_th_sampling,
1717,Q," Arjun and Sajal are friends, each has some money. If Arun gives $30 to Sajal, the Sajal will have twice the money left with Arjun. But, if Sajal gives $10 to Arjun, Arjun will have thrice as much as is left with Sajal. How much money does each have?"
1718,A, Let's think step by step. 
1719,"Arjun and Sajal are friends, each has some money. ",
1720,We can set up two equations to solve for the amount of money each person has. ,
1721,Arjun + Sajal = x ,
1722,2(x - 30) = 3(x - 10) ,
1723,We can solve for x and then plug that value back into our original equation to solve for the amount of money each person has. ,
1724,x = 100 ,
1725,Arjun + Sajal = 100 ,
1726,Arjun = 100 - Sajal ,
1727,Now we can plug this value of ,
1728,Arjun = 60 ,
1729,Sajal = 40,
1730,27st data,
1731,1_th_sampling,
1732,Q," If 27 bottles of soda cost A cents, how much will B bottles cost in dollars?"
1733,A, Let's think step by step. 
1734,We know that 27 bottles cost A cents. ,
1735,We want to know how much B bottles will cost in dollars. ,
1736,We can set up a proportion, 
1737,We can cross multiply to solve for x, 
1738,27x = AB ,
1739,x = AB/27 ,
1740,"Since we want the answer in dollars, we will divide AB by 2700", 
1741,x = AB/2700 ,
1742,"Therefore, the answer is (A). ",
1743,28st data,
1744,1_th_sampling,
1745,A, Let's think step by step. 
1746,8 am - Jim fills the bowl with dog food. 100% of the food is in the bowl. ,
1747,9 am - The dog eats 1/3 of the food in the bowl. 66.67% of the food is in the bowl.,
1748,10 am - The dog eats 1/3 of the food in the bowl. 44.44% of the food is in the bowl.,
1749,11 am - The dog eats 1/3 of the food in the bowl. 29.63% of the food is in the bowl.,
1750,12 pm - The dog eats 1/3 of the food in the bowl ,
1751,"Therefore, among A through E, the answer is closest to D, 35%. ",
1752,29st data,
1753,1_th_sampling,
1754,Q," A newspaper costs $4 on Sunday and $1 the rest of the days of the week. If a hotel orders twice as many papers on Sunday as it does the rest of the days of the week and pays $210 per week for newspapers, how many newspapers does it buy on Monday?"
1755,A, Let's think step by step. 
1756,The hotel pays $210 per week for newspapers. ,
1757,We know that a newspaper costs $4 on Sunday and $1 the rest of the days of the week. ,
1758,We also know that the hotel orders twice as many papers on Sunday as it does the rest of the days of the week. ,
1759,"From this information, we can conclude that the hotel spends $4 x 2 = $8 on Sundays and $1 x 1 = $1 the rest of the days of the week. ",
1760,$8 + $1 = $9 ,
1761,$9 x 7 = $63 ,
1762,30st data,
1763,1_th_sampling,
1764,Q," If the probability that Stock A will increase in value during the next month is 0.56, and the probability that Stock B will increase in value during the next month is 0.74. What is the greatest value for the probability that neither of these two events will occur? "
1765,A, Let's think step by step. 
1766,We know that the probability that stock A will increase in value is 0.56. ,
1767,We also know that the probability that stock B will increase in value is 0.74. ,
1768,We want to find the greatest value for the probability that neither of these two events will occur. ,
1769,This means that we want to find the probability that stock A will NOT increase in value AND the probability that stock B will NOT increase in value. ,
1770,We can use the AND rule for probability to help us solve this problem. ,
1771,The AND rule for probability states that the probability of two events occurring ,
1772,"Therefore, among A through E, the answer is D. ",
1773,P(A AND B) = P(A) * P(B),
1774,P(A AND B) = 0.,
1775,31st data,
1776,1_th_sampling,
1777,Q, There are 10 oranges in a basket. Find the no. of ways in which 2 oranges are chosen from the basket? 
1778,A, Let's think step by step. 
1779,There are 10 oranges in the basket. ,
1780,You want to choose 2 oranges. ,
1781,How many ways can you choose the first orange? ,
1782,There are 10 ways. ,
1783,How many ways can you choose the second orange? ,
1784,There are 9 ways. ,
1785,"So, there are 10 * 9 ways to choose 2 oranges from the basket. ",
1786,Answer, (B) 90 
1787,32st data,
1788,1_th_sampling,
1789,Q," 20 marbles were pulled out of a bag of only white marbles, painted black, and then put back in. Then, another 20 marbles were pulled out, of which 1 was black, after which they were all returned to the bag. If the percentage of black marbles pulled out the second time represents their percentage in the bag, how many marbles in total Q does the bag currently hold? "
1790,A, Let's think step by step. 
1791,There are 20 white marbles in the bag. ,
1792,"We pull them out, paint them black, and put them back in. ",
1793,"Now, the bag has 20 black marbles and 20 white marbles. ",
1794,"We pull out 20 marbles again, and this time 1 of them is black. ",
1795,"This means that the percentage of black marbles pulled out the second time is 1/20, or 5%. ",
1796,"Now, we want to know how many marbles are in the bag in total. ",
1797,We can set up the following equation, 
1798,(% black marbles pulled out ,
1799,"Therefore, among A through E, the answer is D. ",
1800,Q, there are more than 501 students in a school such that 20% of them exactly took physics and 28% of them exactly took math. What could be the least possible no of students in the school? 
1801,A, Let's think step by step. 
1802,There are more than 501 students in the school. ,
1803,20% of them exactly took physics. ,
1804,28% of them exactly took math. ,
1805,We can write this as, 
1806,There are more than 501 students in the school. ,
1807,There are more than 100 students who took physics. ,
1808,There are more than 140 students who took math. ,
1809,We want to find the least possible number of students in the school. ,
1810,The least possible number of students in the school is 241. ,
1811,2st data,
1812,Q," The sum of k consecutive integers is 51. If the least integer is -50, then k = Answer "
1813,A, Let's think step by step. We know that the sum of k consecutive integers is 51. We also know that the least integer is -50. 
1814,We can write this out as, 
1815,-50 + (-49) + ... + k = 51 ,
1816,We can solve this equation for k, 
1817,k = 102 ,
1818,3st data,
1819,Q, A paper is in a square form whose one side is 20 cm. Two semi circles are drawn on its opposites as diameters. If these semi circles are cut down what is the area of the remaining paper? 
1820,A, Let's think step by step. 
1821,"First, we need to calculate the area of the paper. The paper is in a square form, so the area is just the length of one side squared. The length of one side is 20 cm, so the area is 20 cm * 20 cm = 400 cm^2. ",
1822,"Next, we need to calculate the area of the two semi-circles. The area of a semi-circle is half the area of a circle, and the area of a circle is pi * r^2, where r is the radius. The radius of each semi-circle is half the length of one side",
1823,4st data,
1824,Q," Jerry purchased a 1-year $5,000 bond that paid an annual interest rate of 12% compounded every six months. How much interest had this bond accrued at maturity? "
1825,A, Let's think step by step. 
1826,"The first thing we need to do is calculate the semi-annual interest rate. We do this by dividing the annual interest rate by the number of compounding periods per year. In this case, we divide 12% by 2 to get 6%. ",
1827,"Next, we need to calculate the amount of interest that accrues each six months. We do this by multiplying the face value of the bond ($5,000) by the semi-annual interest rate (6%). This gives us $300. ",
1828,"Now, we need to calculate the total amount of interest that accrues over the life ",
1829,5st data,
1830,1_th_sampling,
1831,Q," There is a 90% chance that a registered voter in Burghtown voted in the last election. If five registered voters are chosen at random, what is the approximate likelihood that exactly four of them voted in the last election?"
1832,A, Let's think step by step. 
1833,There is a 90% chance that a registered voter in Burghtown voted in the last election. ,
1834,There is a 10% chance that a registered voter in Burghtown did not vote in the last election. ,
1835,There are 5 registered voters in total. ,
1836,There are 4 ways that 4 out of 5 voters could have voted in the last election. ,
1837,There is only 1 way that 3 out of 5 voters could have voted in the last election. ,
1838,There are no ways that 2 out of 5 voters or 1 out of 5 voters could have voted in the last election ,
1839,6st data,
1840,Q, In a row of children Neha is 12th from left end and Radha is 6th from right end. When Radha is shifted to left by 2 places and Neha is shifted to right by 2 places there 6 children between Radha and Neha. How many children are there in the row?
1841,A, Let's think step by step. 
1842,"There are 12 children to the left of Neha, so there must be at least 12 children in the row. ",
1843,"There are 6 children to the right of Radha, so there must be at least 18 children in the row. ",
1844,"There are 6 children between Radha and Neha, so there must be at least 24 children in the row. ",
1845,"The answer must be between 24 and 27, and the only answer that satisfies this is 26. ",
1846,"Therefore, the answer is 26. ",
1847,7st data,
1848,Q," Tires of a certain brand, when purchased new, last for four years. A customer can choose to purchase the new tires at a cost of $180 per tire or can have his current tires repaired at a cost of $40 per tire, a repair that will make the current tires last for one additional year. The average cost per year of the new tires is what percent greater than the cost of repairing the current tires? "
1849,A, Let's think step by step. 
1850,The cost of new tires is $180 per tire. ,
1851,The cost of repairing the current tires is $40 per tire. ,
1852,The difference in cost is $180 - $40 = $140. ,
1853,"To find the percent increase, we take the difference in cost and divide it by the original cost. In other words, we take $140 and divide it by $40. ",
1854,$140/$40 = 3.5 ,
1855,"3.5 is greater than 1, so we know that the new tires cost more than the repaired tires. ",
1856,8st data,
1857,Q, Anna is able to buy 5 more articles for $300 after the price of each article decreased by 15%. What is the new selling price of each article?
1858,A, Let's think step by step. 
1859,Anna is able to buy 5 more articles for $300. ,
1860,That means that the 5 articles cost $60 each. ,
1861,The price of each article decreased by 15%. ,
1862,That means that the original price of each article was $70. ,
1863,$70 - $60 = $10 ,
1864,The new selling price of each article is $10. ,
1865,9st data,
1866,A, Let's think step by step. 
1867,The first car will travel 15 miles in 15/55 hours. ,
1868,The second car will travel 15 miles in 15/52 hours. ,
1869,Now we need to compare the two times. ,
1870,15/55 = 0.2727272727272727 ,
1871,15/52 = 0.28846153846153846 ,
1872,"Since 0.28846153846153846 is greater than 0.2727272727272727, it will take the second car longer to travel 15 miles. ",
1873,10st data,
1874,1_th_sampling,
1875,Q," A grocery sells a bag of ice for $1.25, and makes 20% profit. If it sells 500 bags of ice, how much total profit does it make? "
1876,A, Let's think step by step. 
1877,The grocery sells a bag of ice for $1.25. ,
1878,This means that the grocery buys the bag of ice for $1. ,
1879,The grocery makes 20% profit. ,
1880,This means that the grocery's profit is $0.20. ,
1881,The grocery sells 500 bags of ice. ,
1882,"This means that the grocery's total profit is 500 * $0.20, which is $100. ",
1883,11st data,
1884,Q," A car finishes a journey in 20 hours at the speed of 60 km/hr. If the same distance is to be covered in 10 hours, how much speed does the car gain?"
1885,A, Let's think step by step. 
1886,The car is currently travelling at 60 km/hr. ,
1887,"In order to travel the same distance in 10 hours, the car would need to travel at 6 times the speed, or 360 km/hr. ",
1888,"Therefore, the car would need to gain 300 km/hr. ",
1889,12st data,
1890,Q," Amy is organizing her bookshelves and finds that she has 10 different types of books. She then codes each book with either a single letter or a pair of two different letters. If each type of book is uniquely represented by either a single letter or pair of letters, what is the smallest number of letters Amy will need to create the codes for all 10 types of books? (Assume the order of letters in a pair does not matter.) "
1891,A, Let's think step by step. 
1892,There are 10 different types of books. ,
1893,That means we need at least 10 different codes. ,
1894,The codes can be either a single letter or a pair of two different letters. ,
1895,That means the maximum number of codes we would need is 20. ,
1896,"However, we know that each type of book is uniquely represented by either a single letter or pair of letters. ",
1897,"That means some of the codes can be single letters, and some of the codes can be pairs of letters. ",
1898,The minimum number of codes we could use is 3. ,
1899,13st data,
1900,Q, Q is as much younger than R as he is older than T. If the sum of the ages of R and T is 50 years. What is definitely the difference between R and Q's age?
1901,A, Let's think step by step. 
1902,Q is as much younger than R as he is older than T. ,
1903,Q is younger than R by x years. ,
1904,Q is older than T by x years. ,
1905,Now we have two equations and two unknowns. We can solve for x. ,
1906,R + T = 50 ,
1907,R - Q = x ,
1908,T - Q = x ,
1909,R + T = 50 ,
1910,R - T = -x ,
1911,2T = 50 - x ,
1912,T = 25 - (1/2)x ,
1913,14st data,
1914,A, Let's think step by step. 
1915,"The first thing we need to do is figure out what the semi-perimeter of the room is. The semi-perimeter is just half of the perimeter, so we need to find the perimeter first. ",
1916,"The perimeter is just the sum of all the sides of the room. We know that the height is 2/5 of the semi-perimeter, so we can set up the following equation", 
1917,2/5sp = h ,
1918,"We also know that the width is 50 cm, so we can set up another equation", 
1919,w = 50 ,
1920,15st data,
1921,1_th_sampling,
1922,Q," A starts a business with Rs.40,000. After 2 months, B joined him with Rs.60,000. C joined them after some more time with Rs.120,000. At the end of the year, out of a total profit of Rs.375,000, C gets Rs.150,000 as his share. How many months after B joined the business, did C join? "
1923,A, Let's think step by step. 
1924,"C's share is 150,000. ",
1925,"The total profit is 375,000. ",
1926,"That means B's share is 375,000 - 150,000 = 225,000. ",
1927,"Now we know that B's share is 60,000 more than A's share. ",
1928,"That means A's share is 225,000 - 60,000 = 165,000. ",
1929,"We also know that the total amount of money invested in the business is 40,000 + 60,000 + 120,000 = 220,000. ",
1930,That means the total profit is 165% of ,
1931,"Therefore, among A through E, the answer is D. C joined 24 months after B joined. ",
1932,16st data,
1933,1_th_sampling,
1934,A," Let's think step by step. Jennie will bike 1/2 mile in 1 minute. In that same minute, Janice will bike 1/5 of a mile. So in one minute, they will have biked 3/10 + 1/5 = 11/20 of a mile. "
1935,It will take them (20/11) minutes to bike 1 mile. (D) 4 minutes ,
1936,17st data,
1937,1_th_sampling,
1938,A, Let's think step by step. 
1939,The athlete runs M miles in 4 hours. ,
1940,That's an average speed of M/4 miles per hour. ,
1941,The athlete rides a bike N miles in the same number of hours. ,
1942,That's an average speed of N/4 miles per hour. ,
1943,"The average speed for these two activities combined is the sum of the average speeds for each activity, so", 
1944,(M/4) + (N/4) = (M + N)/8,
1945,18st data,
1946,1_th_sampling,
1947,Q," All 250 files on Sam's hard drive are infected by either a virus or a worm or both. The number of files that are infected only by a worm is 2.5 times the number of files that are infected by both a virus and a worm. If 50% of the files were not infected by a virus, how many of Sam's files were NOT infected by a worm? "
1948,A, Let's think step by step. 
1949,There are a total of 250 files. ,
1950,2.5 times the number of files that are infected by both a virus and a worm is 125. ,
1951,This means that the number of files that are infected only by a worm is 125. ,
1952,125 + 125 = 250 ,
1953,This means that all of Sam's files are infected by either a virus or a worm or both. ,
1954,"Now, if 50% of the files were not infected by a virus, this means that 50% of the files were infected by a virus. ",
1955,125 files are infected by both a virus and a worm. ,
1956,19st data,
1957,1_th_sampling,
1958,Q," By himself, Jack can clean a yacht in 12 hours. On a particular day, he happens to finish two-thirds of the work. The remaining portion of the work is done by Jill, whose rate of cleaning is just 5% of what Jack can do. How long does it take Jill to finish the remaining work?"
1959,A, Let's think step by step. 
1960,Jack can clean a yacht in 12 hours. ,
1961,"On a particular day, he happens to finish two-thirds of the work. ",
1962,That means he finishes 8 hours of work. ,
1963,"The remaining portion of the work is done by Jill, whose rate of cleaning is just 5% of what Jack can do. ",
1964,That means Jill's rate is 0.05*12=0.6 hours per hour. ,
1965,It will take her 8/0.6=13.3 hours to finish the work. ,
1966,20st data,
1967,1_th_sampling,
1968,Q," In the coordinate plane, a triangle has vertices at (a,0), (b,0), and (x,y). If a>x>b>0>y, which of the following represents the area of that triangle?"
1969,A, Let's think step by step. 
1970,"First, we need to find the equation of the line that passes through the points (a,0) and (b,0). The equation of this line is y=0. ",
1971,"Now, we need to find the equation of the line that passes through the points (x,y) and (0,0). The equation of this line is y=mx, where m is the slope of the line. ",
1972,The area of the triangle is the area between these two lines. We can find this area by finding the integral of the equation of the line y=mx from x=a to ,
1973,21st data,
1974,1_th_sampling,
1975,Q," At a certain factory, 10 percent of the staplers produced on Monday were defective and 2 percent of the non-defective staplers were rejected by mistake. If 72 of the non-defective staplers were rejected, what was the number of staplers produced that day?"
1976,A, Let's think step by step. 
1977,"First, we know that 10% of the staplers were defective. ",
1978,"That means that for every 10 staplers, 1 was defective. ",
1979,We also know that 2% of the non-defective staplers were rejected by mistake. ,
1980,"That means that for every 100 non-defective staplers, 2 were rejected by mistake. ",
1981,We're told that 72 of the non-defective staplers were rejected. ,
1982,That means that there were 72 more staplers rejected than there were defective stapl ,
1983,"Therefore, among A through E, the answer is D. ",
1984,"There were 4,800 staplers produced that day.",
1985,22st data,
1986,1_th_sampling,
1987,Q, A train M leaves City A at 5 am and reaches City B at 9am. Another train N leaves City B at 7am and reaches City A at 1030am. At what time do the 2 trains cross one another?
1988,"The first train, M, will take 4 hours to reach City B. ",
1989,"The second train, N, will take 3.5 hours to reach City A. ",
1990,"Therefore, the two trains will cross one another at 8",30 am. 
1991,23st data,
1992,1_th_sampling,
1993,Q," Two ants are standing side-by-side. One ant, which is 4 inches tall, casts a shadow that is 10 inches long. The other ant is 6 inches tall. Compute, in inches, the length of the shadow that the taller ant casts. "
1994,A, The first ant casts a shadow that is 10 inches long. 
1995,"The second ant is 6 inches tall, which means that it is 2 inches taller than the first ant. ",
1996,"Since the first ant's shadow is 10 inches long, the second ant's shadow must be 2 inches longer, which means it is 12 inches long. ",
1997,24st data,
1998,1_th_sampling,
1999,Q," A sporting goods store carries only yellow and white golf balls. At the beginning of the day it had 600 golf balls in stock, and by the end of the day it had sold 80% of its inventory of golf balls. If the store sold an equal number of yellow and white golf balls, and in doing so sold all of its white golf balls, how many yellow golf balls did the store have to begin the day? "
2000,A, Let's think step by step. 
2001,The store had 600 golf balls in stock. ,
2002,80% of 600 golf balls is 480 golf balls. ,
2003,That means that the store sold 480 golf balls in total. ,
2004,"Since the store sold an equal number of yellow and white golf balls, that means that it sold 240 white golf balls. ",
2005,That means that it had 360 yellow golf balls to begin the day. ,
2006,25st data,
2007,1_th_sampling,
2008,Q, 900 + 5 × 12 = ? 
2009,A, Let's think step by step. 
2010,900 + 5 × 12 = ,
2011,900 + 5 × (10 + 2) = ,
2012,900 + 5 × 10 + 5 × 2 = ,
2013,900 + 50 + 10 = ,
2014,960 ,
2015,26st data,
2016,1_th_sampling,
2017,Q," Arjun and Sajal are friends, each has some money. If Arun gives $30 to Sajal, the Sajal will have twice the money left with Arjun. But, if Sajal gives $10 to Arjun, Arjun will have thrice as much as is left with Sajal. How much money does each have?"
2018,A, Let's think step by step. 
2019,"Arjun and Sajal are friends, each has some money. ",
2020,We can set up two equations to solve for the amount of money each person has. ,
2021,Arjun + Sajal = x ,
2022,2(x - 30) = 3(x - 10) ,
2023,We can solve for x and then plug that value back into our original equation to solve for the amount of money each person has. ,
2024,x = 100 ,
2025,Arjun + Sajal = 100 ,
2026,Arjun = 100 - Sajal ,
2027,Now we can plug this value of ,
2028,Arjun = 60 ,
2029,Sajal = 40,
2030,27st data,
2031,1_th_sampling,
2032,Q," If 27 bottles of soda cost A cents, how much will B bottles cost in dollars?"
2033,A, Let's think step by step. 
2034,We know that 27 bottles cost A cents. ,
2035,We want to know how much B bottles will cost in dollars. ,
2036,We can set up a proportion, 
2037,We can cross multiply to solve for x, 
2038,27x = AB ,
2039,x = AB/27 ,
2040,"Since we want the answer in dollars, we will divide AB by 2700", 
2041,x = AB/2700 ,
2042,"Therefore, the answer is (A). ",
2043,28st data,
2044,1_th_sampling,
2045,A, Let's think step by step. 
2046,8 am - Jim fills the bowl with dog food. 100% of the food is in the bowl. ,
2047,9 am - The dog eats 1/3 of the food in the bowl. 66.67% of the food is in the bowl.,
2048,10 am - The dog eats 1/3 of the food in the bowl. 44.44% of the food is in the bowl.,
2049,11 am - The dog eats 1/3 of the food in the bowl. 29.63% of the food is in the bowl.,
2050,12 pm - The dog eats 1/3 of the food in the bowl ,
2051,"Therefore, among A through E, the answer is closest to D, 35%. ",
2052,29st data,
2053,1_th_sampling,
